c5,remark,,,,,,,,
"THE DEPARTURE AND CLIMB-OUT WAS NORMAL. AFTER CLEARING THE KFTT AIRSPACE THE PILOT REQUESTED FLIGHT FOLLOWING FROM THE MIZZOU APPROACH, INDICATING VFR DIRECT TO (KARB) AT 7500 FEET MSL. WHILE CLIMBING N3555N WAS HANDED OFF TO KANSAS CITY CENTER. AFTER REACHING CRUISE ALTITUDE, THE PILOT STARTED CRUISE CONFIGURATION, BY LEANING THE ENGINE TO 100 DEGREES RICH OF PEAK OPERATION BY USING THE MIXTURE AND ONBOARD EDM-900 ENGINE MONITOR. UPON REACHING PEAK EGT, THE PILOT BEGAN TO ENRICHEN THE MIXTURE, HOWEVER THE ENGINE CONTINUED TO LEAN FURTHER AND FURTHER. THE PILOT NOTED THE MIXTURE KNOB FELT LOOSE AND THERE WAS NO LONGER ANY RESISTANCE IN THE CABLE. THE ENGINE CONTINUED TO LEAN OUT TO 2.8 GPM AS THIS WAS THE LAST FUEL FLOW THE PILOT OBSERVED. THE PILOT NOTIFIED KANSAS CITY CENTER THAT N3555N WAS DIVERTING TO (KH19) BOWLING GREEN, MO MUNICIPAL AIRPORT, DUE TO FUEL FLOW ISSUES. THE PILOT DID NOT DECLARE AN EMERGENCY. WHILE DESCENDING TO (KH19) (WHICH THE PILOT AT THIS TIME DID NOT HAVE VISUAL CONTACT WITH) AN ATTEMPT WAS MADE TO RESUME FUEL FLOW AND RE-ESTABLISH POWER FOR A CONTROLLED LANDING. ALL ATTEMPTS FAILED. ABOUT 1-2 MILES FROM THE AIRPORT, N3555N WAS 3500 FT MSL IN LINE WITH RUNWAY 31. THE PILOT DECIDED THEIR WASN'T ENOUGH ALTITUDE TO SAFELY MAKE AN UNPOWERED CIRCLING PATTERN TO RUNWAY 13. THE PILOT SHUT DOWN THE ENGINE AND AVIONICS AND REMOVED THE KEY TO MITIGATE POTENTIAL SOURCE OF IGNITION IN CASE OF A FUEL BREACH. HIGH ON APPROACH TO RUNWAY 31 THE PILOT ATTEMPTED TO SHED ALTITUDE AS QUICKLY AS POSSIBLE BY SLIPPING THE AIRCRAFT, LOWERING THE GEAR AND ENGAGING THE FLAPS. N3555N CROSSED RUNWAY 31 THRESHOLD AT ABOUT 120 KNOTS (RUNWAY 31 IS 3200 FOOT LONG)THE PILOT FELT HE WAS GOING TO OVERRUN THE RUNWAY INTO THE FIELD BEFORE TOUCHING DOWN. LANDING FAST AND ATTEMPTING TO GET THE WHEELS ON THE RUNWAY TO ENGAGE THE BRAKE,  THE PILOT BOUNCED THE AIRCRAFT A FEW TIMES, WHICH RESULTED IN ONE PROPELLER BLADE MAKING CONTACT WITH THE CONCRETE RUNWAY. N3555N CAME TO REST APPROXIMATELY 375 FEET IN THE GRASS PAST THE END OF RUNWAY 31.",,,,,,,,,
20190516004729A,"SAVANNAH, TN: N750GZ, EXPERIMENTAL, REPORTED LOSS OF VOLTAGE AND ENGINE FAILURE. AIRCRAFT LANDED IN A FIELD APPROXIMATELY 1.3 MILES FROM SNH CAUSING DAMAGE TO THE LANDING GEAR. POB: 2, INJURIES: NONE, DAMAGE: EXTENT SUBSTANTIAL. 05/16/2019 2000Z",,,,,,,,
20190516004739I,OXC TOWER REPORTED THAT ^PRIVACY DATA OMITTED^ WAS ON APPROACH FOR LANDING AND BEGAN TO PORPOISE THE AIRCRAFT AND HAD A PROPELLER STRIKE AT WHICH TIME SHE PERFORMED A GO AROUND AND THEN LANDED THE AIRCRAFT.,,,,,,,,
20190516004749I,"1.  DESCRIPTION OF INCIDENT:  AIRPLANE WAS BEING TAXIED FROM HANGER TO RUNWAY 09.  WHILE ON TAXI WAY ""B"" TO TAXI WAY ""E"" THE PILOT APPLIED THE BRAKES AND THE AIRPLANE TURNED HARD TO THE RIGHT AND WENT INTO THE GRASS LEAVING TAXI WAY ""B"" AT INTERSECTION ""E & B""",,,,,,,,
,,,,,,,,,
2.  CAUSAL/CONTRIBUTING FACTORS: THE LEFT BRAKE PEDAL WENT SOFT AND TO THE FLOOR. THE PILOT RIGHT BRAKE WAS STILL WORKING AND THE PLANE MADE A HARD RIGHT TURN AND WENT OFF THE TAXIWAY.,,,,,,,,,
,,,,,,,,,
BIENNIAL TRANSPONDER AND PITOT STATIC SYSTEM CHECK IS THREE MONTHS OVER DUE.,,,,,,,,,
,,,,,,,,,
3.  ATC: NO FACTOR (HAD ISSUED TAXI INSTRUCTIONS ONLY),,,,,,,,,
,,,,,,,,,
4.  RECOMMENDATIONS:  PERFORM A BETTER PREFLIGHT INSPECTION TO DETECT EVIDENCE OF LEAKING BRAKE CALIPER.,,,,,,,,,
,,,,,,,,,
5.  ACTIONS TAKEN TO CORRECT THE PROBLEM AND PREVENT REOCCURRENCE:  PREFLIGHT THE BRAKE SYSTEM AND KNOW HOW MUCH FLUID IS ONBOARD PRIOR TO TAXI. ,,,,,,,,,
,,,,,,,,,
ADMINISTRATIVE ACTION: ORAL COUNSELING WAS GIVEN TO THE PILOT REGARDING A CLOSER LOOK ON PREFLIGHT ITEMS AND RECORDS.  ADVISED PILOT NOT TO DEPEND ON THE MECHANIC TO POINT OUT DUE DATE ITEMS SUCH AS PITOT STATIC CHECKS AND TRANSPONDER BIENNIAL CERTIFICATIONS.  (THERE WERE EXTENUATING CIRCUMSTANCES SURROUNDING THE PITOT STATIC CHECK).,,,,,,,,,
,,,,,,,,,
6.  PTRS RECORD ID NUMBER: SO19201911378,,,,,,,,,
,,,,,,,,,
" 7.  COMMENTS:  ON PREFLIGHT PAY CLOSER ATTENTION TO THE EVIDENCE OF THE MAIN BRAKE LEAKING BRAKE FLUID, ENSURE THE SYSTEM IS FULLY SERVICED PRIOR TO ANY TAXI.",,,,,,,,,
20190516011289I,"N4177S WAS FLYING UNDER VISUAL FLIGHT RULES (VFR) FROM ROCKWOOD AIRPORT, ROCKWOOD, TENNESSEE (KRKW) TO POPLAR GROVE AIRPORT, POPLAR GROVE, IL (KC77). THE AIRPLANE RADAR INDICATED A LINE OF THUNDERSTORMS NORTH OF ROCKFORD, ILLINOIS. ^PRIVACY DATA OMITTED^ THE PILOT IN COMMAND DECIDED TO DIVERT TO ILLINOIS VALLEY AIRPORT, PERU, ILLINOIS (KVYS).  N4177S LANDED ON RUNWAY 18 WITHOUT INCIDENT.  N4177S TURNED OFF RUNWAY 18 AT THE END OF THE RUNWAY AND DURING THE TURN ONTO THE PARALLEL TAXIWAY, A GUST OF WIND HIT THE AIRPLANE CAUSING THE AIRPLANE TO VEER OFF THE TAXIWAY AND DOWN A SMALL DITCH.  NO INJURIES, NO PROPERTY DAMAGE AND MINOR DAMAGE TO THE AIRPLANE.",,,,,,,,
20190516018069I,"PILOT WAS FLYING FROM PLN-ARB.  WIND WAS 180@5G10.  PILOT WAS COMING IN FOR LANDING, DRIFTED AND STRUCK A TAXI WAY LIGHT. ",,,,,,,,
,,,,,,,,,
"PILOT KNEW RIGHT AWAY HE DID NOT HAVE ENOUGH CORRECTION IN.  HE INDICATED HE CAME IN SLIGHTLY FASTER THAN USUAL, BOUNCED, DID NOT HAVE THE PROPER CROSS WIND CORRECTION IN, DRIFTED AND STRUCK A TAXI WAY LIGHT.",,,,,,,,,
20190517004759A,"ON SATURDAY MAY 18, 2019 AT 7:12 AM, I WAS NOTIFIED BY ROC, THAT A CESSNA 210, TAIL NUMBER 4861P HAD CRASH LANDED IN THE GULF OF MEXICO, ABOUT 5 MILES WEST BETWEEN CRYSTAL RIVER AND YANKEE TOWN FLORIDA. ",,,,,,,,
,,,,,,,,,
"ON MAY 21, 2019 AT APPROXIMATELY 10:46 AM, I RECEIVED A PHONE CALL FROM THE PILOT. I ASKED HIM IF HE WOULD TELL ME WHAT HAPPEN. HE REPLIED YES. HE STATED THAT HE HAD DEPARTED SAN, FL HEADING SOUTHEAST. HE CLIMBED TO 2,500 MSL, WHERE HE REMAINED DURING THE COURSE OF THE FLIGHT. WHILE HE WAS OUT OVER THE GULF, THE AIRCRAFT LOST ALL ELECTRICAL POWER, HE THEN STARTED HEADING TO CRYSTAL RIVER AIRPORT AND PUMPING DOWN THE GEAR FOR LANDING. SHORTLY AFTER GETTING THE GEAR DOWN THE AIRCRAFT ENGINE LOSS POWER AND STOPPED. HE THEN PREPARED FOR AN EMERGENCY WATER LANDING. HE NEVER TRIED TO RESTART THE ENGINE. ",,,,,,,,,
UNABLE TO DETERMINE WHY THE ENGINE QUIT RUNNING AT THIS TIME OR WHY THERE WAS A ELECTRICAL FAILURE.,,,,,,,,,
,,,,,,,,,
  ,,,,,,,,,
"THE COAST GUARD TOLD THE PILOT THAT HE HAD TO REMOVE HIS AIRCRAFT. THE AIRCRAFT WAS SEA TOW RECOVERED THE  CESSNA  P210N, TAIL NUMBER N4861P, SERIAL NUMBER P2100023 BY THE REQUEST OF THE OWNER.",,,,,,,,,
20190517004769A,"ON 17MAY2019 AN 1977 AYERS S-2R REGISTERED TO FARMERS AERIAL SEEDERS WAS SPREADING SOLID FERTILIZER IN SLOVAK ARKANSAS. MANEUVERING OUT OF THE 2ND PASS AND TURNING THE AIRMAN STATED THERE WAS A WIND GUST CAUSING THE AIRCRAFT TO STALL LOSING LIFT. WHILE STILL MOVING FORWARD THE AIRCRAFT PARTIALLY IMPACTED THE GROUND COLLAPSING THE LEFT MAIN GEAR. THE AIRCRAFT STILL UNDER POWER BOUNCED UP REGAINING LIFT/FLIGHT. THE AIRMAN STATED THE AIRCRAFT HANDLED OK AND HE MADE THE SPLIT DECISION TO FLY BACK TO BASE THAT WAS APPROXIMATELY 4.5 MILES AWAY. HE THEN RADIOED BASE AND WHEN FLYING BY THE GROUND CREW CONFIRMED THE LEFT MAIN GEAR WAS DAMAGED AND BENT UNDERNEATH THE LEFT WING. THE AIRMAN MANEUVERED THE AIRCRAFT TO THE NON-ACTIVE RUNWAY ON THE SOUTH SIDE OF THE AIRPORT. UPON LANDING ROLLOUT THE AIRMAN KEPT THE AIRCRAFTS WEIGHT ON THE RIGHT WHEEL UNTIL EVENTUALLY THE LEFT WING FELL, IMPACTING THE GROUND A 2ND TIME, SLIDING 200FT PARALLEL TO THE RUNWAY COMING TO REST APPROXIMATELY 100FT FROM THE LEFT SIDE OF RUNWAY INTO THE ADJACENT FIELD.  THE RESULTING IMPACT CAUSED SUBSTANTIAL DAMAGE.",,,,,,,,
20190517004779I,"LOST CONTROL ON LANDING RWY 26L, RESULTING IN A PROPELLER STRIKE. NO DAMAGE TO AIRPORT AND NO INJURIES . MINOR DAMAGE TO AIRCRAFT PROPELLER AND MINOR SCRAPE TO LOWER NOSE LANDING GEAR.",,,,,,,,
20190517016609A,"PILOT TOOK OFF FROM HIS HOME NEAR MYTON, UTAH AROUND 0924 ENROUTE TO SOUTH VALLEY REGIONAL AIRPORT, UTAH (U42).  THE PASSENGER TOOK A VIDEO OF THE FLIGHT AT 1026 (ABOUT 8 MINUTES BEFORE THE ACCIDENT) WITH THE ALTIMETER SHOWING AN ALTITUDE OF 13,600 FT MSL AND THEM FLYING JUST ABOVE A CLOUD LAYER.  AT APPROXIMATELY 1034 THE HELICOPTER CRASHED INTO THE SIDE OF A MOUNTAIN APPROXIMATELY 3 MILES NORTH OF ALPINE, UTAH KILLING BOTH THE PILOT AND PASSENGER.  THE AIRCRAFT WRECKAGE WAS FOUND AT 7656 FT MSL.",,,,,,,,
20190517022869I,"PILOT LANDED ON RUNWAY 18. AT APPROXIMATELY 800 FEET FROM THE END OF RUNWAY 18, THE AIRCRAFT VEERED TO THE RIGHT. PILOT APPLIED LEFT RUDDER AND INCREASED ENGINE POWER. THE AIRCRAFT MADE A SHARP TURN TO THE LEFT RUNNING OFF OF THE LEFT SIDE OF THE RUNWAY INTO THE GRASS DAMAGING LEFT WING TIP, LEFT ELEVATOR AND SPREADING LANDING GEAR.",,,,,,,,
20190518004789I,AIRCRAFT EXHIBITED SYMPTOMS OF FUEL STARVATION.  ON CLIMB OUT THE ENGINE WENT TO A LOWER POWER AND THEN TAKEOFF POWER AND THEN TO LOW POWER AND THEN FLAMED OUT.  AIRCRAFT SUFFERED HARD LANDING WITH NOSE GEAR COLLAPSE.,,,,,,,,
20190518004799I,"ON MAY 18, 2019 A 1946 LUSCOMBE 8A WENT OFF THE RUNWAY INTO A DITCH AFTER LANDING.  AIRCRAFT SUSTAINED MINOR DAMAGE TO THE WHEEL FAIRINGS, NO OTHER DAMAGE OR INJURY TO THE PILOT.",,,,,,,,
20190518004809I,THE PIC WAS RETURNING FROM DROPPING OFF PARACHUTE JUMPERS. DURING THE LANDING THE AIRCRAFT LANDED HARD ON ALL THREE WHEELS AND THEN PITCHED FORWARD ONTO THE NOSE WHEEL AND THE PROPELLER STUCK THE RUNWAY CAUSING DAMAGE TO THE BOTH PROPELLER BLADES.,,,,,,,,
20190518004819A,AIRCRAFT WAS OBSERVED DESCENDING AT A STEEP ANGLE AND A HIGH RATE OF SPEED.  AIRCRAFT IMPACTED TREES IN A SPARSELY POPULATED AREA. ALL THE FLIGHT CONTROLS WERE ACCOUNTED FOR ALBEIT IN A HIGHLY DAMAGED FORM.  CONTROL CONTINUITY COULD NOT BE DEFINITIVELY DETERMINED BECAUSE OF THE CONDITION AFTER THE ACCIDENT.  THERE WAS INDICATION OF FUEL ON BOARD DUE TO THE EVIDENCE OF BLIGHTED VEGETATION AROUND THE IMPACT AREA. PROBABLE CAUSE IS UNDETERMINED AT THIS TIME. ,,,,,,,,
(REVIEWED BY FLM BAM ON 6/11/19),,,,,,,,,
20190518004829I,"NEW PRIVATE PILOT IN COMMAND MISMANAGED FUEL DUE TO STRESS OF ELECTRICAL/ALTERNATOR ISSUES WITH AIRPLANE. APPARENTLY OVERLOOKED TANK SWITCHOVER, RUNNING TANK DRY AT LOW ALTITUDE (2000 AGL) WAS UNABLE TO RESTART. EXECUTED POWER OFF EMERGENCY LANDING 1.5 NM NNW OF THE SHELBY COUNTY AIRPORT.",,,,,,,,
20190518004839A,"ON MAY 18, 2019, AT 7:15AM, CLEAR SKIES, WIND CALM, A PIPER AZTEC PA23-250, AIRCRAFT MAKING AN APPROACH TO RUNWAY 31 AT FALCON FIELD (FFC) PEACHTREE CITY, GEORGIA. AS THE AIRCRAFT WAS TRANSITIONING FROM THE LANDING APPROACH TO LANDING FLARE THREE DEER CAME ACROSS THE RUNWAY FROM EAST TO WEST. THE PILOT STATED HE WAS STARTING TO ADD POWER TO GO AROUND WHEN HE FELT AN IMPACT AND NOTICE THE GEAR WARNING HORN AND LIGHT CAME ON, THE AIRCRAFT WAS EQUIPPED WITH A MIRROR ON THE LEFT INBOARD COWLING AND HE NOTICE THAT THE NOSE GEAR HAD SUBSTANCE DAMAGE AND WAS DANGLING BACK AND FORTH. THE PILOT PULLED THE POWER BACK AND LANDING WITH THE NOSE GEAR UNLOCKED AIRCRAFT CAME TO REST ON THE NOSE AND TWO MAINS.",,,,,,,,
20190518004849I,"ON MAY 18 2019, AT APPROXIMATELY 1930 EST, A CESSNA 172F , N5200F, REGISTERED TO A PRIVATE INDIVIDUAL, MADE AN EMERGENCY LANDING ON THE 17TH GREEN OF PINE TREE GOLF CLUB. PILOT WAS RETURNING FROM NORTH PALM BEACH COUNTY AIRPORT (F45) TO NORTH PERRY AIRPORT (HWO), ACCORDING TO THE PILOT, WHILE OVER THE EVERGLADES, AT 1100 FT, THE ENGINE STARTED RUNNING ROUGH, THE PILOT MADE AN ATTEMPT TO LAND AT LNA, SUDDENLY, ENGINE LOST ADDITIONAL POWER, HE MADE THE DECISION TO LAND ON THE GOLF COURSE. NO INJURIES TO THE THREE OCCUPANTS AND NEGLIGIBLE DAMAGE TO THE AIRCRAFT.",,,,,,,,
20190519004859I,"ON MAY 19, 2019 AT APPROXIATELY 1130 CENTRAL STANDARD TIME, A BONANZA V-35A LANDED GEAR-UP ON RUNWAY 30 AT KMLE (MILLARD MUNICIPAL AIRPORT).  THE AIRCRAFT TOUCHED DOWN APPROXIMATELY 562 FEET FROM THE THRESHOLD OF RUNWAY 30, AND CAME TO REST APPROXIMATELY 450 FEET FROM TOUCHDOWN ON RUNWAY 30.  THE AIRCRAFT CAME TO REST ON A 262 DEGREE HEADING.",,,,,,,,
,,,,,,,,,
THE PILOT AND ONE PASSENGER WERE ONBOARD A PART 91 FLIGHT AND NEITHER INCURRED ANY INJURIES.,,,,,,,,,
,,,,,,,,,
"THE AIRCRAFT RECEIVED MINOR DAMAGE TO INCLUDE: SCRAPES OF THE EXHAUST PIPES, ENGINE COWLING DAMAGE, SKIN SCRAPING ON THE INBOARD PORTIONS OF EACH FLAP, SKIN SCRAPING UNDER THE FUSELAGE, AND PROPELLER DAMAGE.",,,,,,,,,
20190519004869A,"THE BOISE FSDO RECEIVED NOTIFICATION OF AN AIRCRAFT ACCIDENT WITH POST-CRASH FIRE 300 YARDS NORTH OF SUNRISE SKYPARK AIRPORT (ID40) NEAR MELBA, IDAHO UNDER UNKNOWN CIRCUMSTANCES. THE PILOT WAS FATALLY WOUNDED. ",,,,,,,,
,,,,,,,,,
"THE AIRCRAFT WAS LOCATED ON PRIVATE PROPERTY IN AN EMPTY FIELD. THE ON-SCENE INVESTIGATION INDICATES THAT THE AIRCRAFT HAD EITHER JUST DEPARTED FROM RUNWAY 30 OR WAS CONDUCTING A FLY-BY OF RUNWAY 30 AT ID40. THE GROUND SCARING AT THE SCENE SHOWS THE AIRCRAFT HITTING THE GROUND WITH THE RIGHT WING TIP FIRST, FOLLOWED BY THE PROPELLER/SPINNER, SLIDING UPRIGHT ALONG THE GROUND FORWARD AS IT ROTATED CLOCKWISE, AND COMING TO A STOP FACING APPROXIMATELY 180 DEGREES FROM THE ORIGINAL FLIGHT PATH. THE AIRCRAFT CAME TO REST APPROXIMATELY 100 FEET FROM INITIAL GROUND IMPACT. A POST-CRASH FIRE SUBSTANTIALLY BURNED THE AIRCRAFT?S COCKPIT AND CABIN. AN FAA AIRWORTHINESS INSPECTOR CONDUCTED A CONTINUITY CONTROL CHECK ON SCENE AND FOUND NO OBVIOUS DISCREPANCIES IN FLIGHT CONTROLS. HOWEVER, THE POST-CRASH FIRE DESTROYED MANY CONTROL CABLES, BELLCRANK?S, AND THE SINGLE CONTROL YOKE. THE AIRCRAFT WAS MISSING ONE PROPELLER BLADE AT THE SCENE. THE FAA IIC AND ASSISTING FAA INSPECTORS SEARCHED THE FIELDS AND PRIVATE PROPERTY AROUND THE AIRCRAFT, AND SEARCHED THE SUNRISE SKYPARK AIRPORT FOR THE MISSING PROPELLER BLADE. THE PROPELLER BLADE WAS NOT LOCATED. A DETERMINATION COULD NOT BE ESTABLISHED AT THE ACCIDENT SITE OF WHEN THE BLADE DEPARTED THE AIRCRAFT, IN FLIGHT OR BECAUSE OF IMPACT WITH THE GROUND. ",,,,,,,,,
,,,,,,,,,
AN AIRCRAFT SALVAGE COMPANY RELOCATED THE AIRCRAFT TO THE BOISE AIRPORT FOR AN ENGINE INSPECTION. AN AIR SAFETY INVESTIGATOR FROM CONTINENTAL MOTORS GROUP CONDUCTED THE INSPECTION AND WAS WITNESSED BY AN FAA AIRWORTHINESS INSPECTOR. THE AIRCRAFT PROPELLER WAS REMOVED. THE PROPELLER HUB SHOWED THREAD DAMAGE AT THE MISSING BLADE LOCATION AND ONE OF THE PROPELLER LOCKING LUGS ON THE PROPELLER HUB WAS MISSING. THE ATTACHMENT POINT OF THE MISSING PROPELLER LOCKING LUG SHOWED SIGNS OF DELAMINATION AND RUST WAS PRESENT. THE INSPECTION DETERMINED THE ENGINE CRANKSHAFT AND ACCESSORY GEARBOX HAD CONTINUITY AND ENGINE COMPRESSION ON ALL CYLINDERS WAS SATISFACTORY. THE IGNITION SYSTEM WAS TESTED AND FOUND SATISFACTORY. THE CONDITION OF THE FUEL SYSTEM COULD NOT BE DETERMINED DUE TO DAMAGE.   ,,,,,,,,,
,,,,,,,,,
INITIAL ON-SCENE ACCIDENT SITE INTERVIEWS WERE CONDUCTED. THOSE INTERVIEWS WERE RESIDENTS OF THE SUNRISE SKYPARK AIRPORT AND THEY DID NOT VISUALLY WITNESS THE ACCIDENT BUT HAD HEARD IT WHILE INSIDE THEIR HOMES. THE COMMONALITY BETWEEN THE INTERVIEWEE?S WAS THAT THEY HEARD AN AIRPLANE MAKE TWO PASSES AND IT WAS FLYING LOW AND FAST. THEY FURTHER REPORTED THAT THE PILOT AND AIRCRAFT INVOLVED IN THE ACCIDENT HAD PERFORMED ROLLS AND AEROBATIC MANEUVERS IN THE PAST. ,,,,,,,,,
,,,,,,,,,
"AS THE INVESTIGATION PROGRESSED, TWO EYEWITNESSES CAME FORWARD IN THE DAYS FOLLOWING THE ON-SCENE INVESTIGATION. THE FIRST EYEWITNESS REPORTED HEARING A VERY LOUD AND LOW FLYING AIRPLANE. SHE WENT OUT TO HER BACK PORCH THAT FACES HIGHWAY 78 AND SAW THE AIRPLANE FLYING LOW BETWEEN HER HOUSE AND THE HIGHWAY. SHE SAID IT WAS ABOUT AS HIGH AS THE TOP OF THE TREES; IT FLEW SIDEWAYS AND WENT DOWN NOSE FIRST. IT WAS AROUND 100 TO 200 YARDS AWAY FROM HER RESIDENCE. ",,,,,,,,,
,,,,,,,,,
THE SECOND EYEWITNESS REPORTED SEEING THE AIRCRAFT CONDUCTING A RIGHT AILERON/BARREL ROLL AND LAND RUNWAY 30. THEN HE WATCHED THE AIRCRAFT DEPART RUNWAY 30 AGAIN AND ATTEMPT ANOTHER RIGHT AILERON/BARREL ROLL AT THE END OF THE RUNWAY. THE WITNESS SAID HE WATCHED THE AIRCRAFT ROTATE THROUGH APPROXIMATELY 135 DEGREES WHEN THE ROLL RATE CEASED AND THEN IT NOSED PAST THE TREE LINE AT A 45 DEGREE ANGLE FROM VERTICAL FROM HIS PERSPECTIVE. HE HEARD THE IMPACT AND THE ENGINE SOUNDED TO BE AT NORMAL RPM. HE THEN WITNESSED SMOKE COMING UP FROM BEHIND THE TREE LINE. ,,,,,,,,,
,,,,,,,,,
ON 8/26/19 RECOVERED MISSING PROPELLER  BLADE. DC NTSB LAB RECEIVED BLADE ON 9/3/19.,,,,,,,,,
20190519004879A,"ON MAY 19TH 2019, APPROXIMATELY 11:30AM, A LIGHT SPORT AIRCRAFT PILOTED BY A PRIVATE PILOT ATTEMPTED TO LAND AT BLAIRSVILLE, GEORGIA AIRPORT [KDZL]. PILOT STATEMENT; DURING THE APPROACH EXPERIENCED A SMALL CROSSWIND FROM THE LEFT AS HE PASSED OVER THE THRESHOLD THE AIRCRAFT WAS LIFTED ABOUT 7 FEET UP IN THE AIR AND PITCHED UP 20 DEGREES THEN VIOLENTLY SLAMMED ONTO THE RUNWAY, COLLASPING THE LEFT MAIN GEAR, WHICH HE STATED IT HAPPEN ALL IN 2-3 SECONDS. THE PILOT STATED HE PUSHED THE STICK FORWARD WITH NO SUCCESS.",,,,,,,,
20190519004889I,"ON THE MORNING OF MAY 20TH, 2019, THE AIRPORT MANAGER RECEIVED A CALL OF AN AIRCRAFT ON THE RUNWAY, ABANDONDED.",,,,,,,,
"WHEN THE MANAGER WENT OUT TO INVESTIGATE, HE FOUND THAT THE AIRCRAFT HAD A BROKEN RH MAIN LG WHEEL AND TIRE.",,,,,,,,,
THERE WAS NO INDICATION OF A PILOT BEING INJURED OR ANY OTHER EVIDENCE OF ANY KIND.,,,,,,,,,
THE AIRCRAFT WAS REMOVED TO THE RAMP.,,,,,,,,,
20190519004899A,N2462Q A CESSNA 182 HAD A HARD LANDING ON A PRIVATE GRASS STRIP CAUSING SUBSTANTIAL DAMAGE.,,,,,,,,
20190520004909A,"ON MAY 20, 2019, AT APPROXIMATELY 1556 ALASKA TIME, N67667, A DE HAVILLAND DHC-2, FLIPPED OVER SHORTLY AFTER TOUCHDOWN IN METLAKATLA HARBOR. EYEWITNESS ACCOUNTS ASSERT THAT THE AIRCRAFT LANDED WITH A QUARTERING TAILWIND. AS N67667 TOUCHED DOWN, THE DOWNWIND (STARBOARD) FLOAT DUG INTO THE WATER AND THEN THE DOWNWIND (STARBOARD) WING SUBSEQUENTLY MADE CONTACT WITH THE WATER CAUSING THE AIRCRAFT TO VIOLENTLY FLIP OVER. THE PILOT IN COMMAND, ^PRIVACY DATA OMITTED^ AND SOLE PASSENGER WERE FATALLY INJURED DURING THE ACCIDENT.",,,,,,,,
20190520004919I,"THE AIRCRAFT IN QUESTION TOOK OFF FROM ST LOUIS DOWNTOWN AIRPORT (CPS) FOR A PART 141 FLIGHT.  THE INSTRUCTOR HAD THE STUDENT PILOT PERFORM A SOFT FIELD LANDING AS PART OF HIS TRAINING.  THE AIRCRAFT MAIN WHEELS TOUCHED DOWN AND WHEN THE NOSE BEGAN TO COME DOWN, THE FLIGHT INSTRUCTOR COULD TELL FROM EXPERIENCE WHEN THE AIRCRAFT NOSE WHEEL SHOULD HAVE TOUCHED DOWN.  ONCE THE INSTRUCTOR REALIZED SOMETHING WAS WRONG, HE PULLED THE THROTTLE BACK TO ATTEMPT TO PREVENT DAMAGE TO THE PROPELLER.  THE NOSE GEAR STRUT TOUCHED DOWN ON THE ON THE RUNWAY AND SKIDDED UNTIL THE AIRCRAFT COULD BE STOPPED; THE DAMAGE WAS LIMITED TO THE NOSE LANDING GEAR STRUT.  THE HARDWARE THAT KEPT THE NOSE-LANDING GEAR FORK ON THE LANDING STRUT WAS FOUND APPROXIMATELY 10-12 FEET FROM WHERE THE AIRCRAFT WAS PARKED ON THE RAMP.  THE NOSE LANDING GEAR FORK, WITH THE WHEEL IN IT, WAS FOUND RIGHT OFF OF THE SIDE OF THE RUNWAY  WHERE THE AIRCRAFT WOULD HAVE ROTATED DURING TAKEOFF.   THE BOLT THAT HOLDS THE WHEEL ON THE STRUT WAS FOUND WITH THE BROKEN STUD AND COTTER PIN STILL ATTACHED.  ALL OF THE HARDWARE THAT HOLDS THE FORK ON THE STRUT WAS FOUND ON THE RAMP.  CIRRUS REQUESTED THAT THE OPERATOR SEND THEM THE STRUT FOR TESTING.  THE OPERATOR SUBMITTED A SERVICE DIFFICULTY REPORT (SDR) FOR THE LANDING GEAR STRUT.  THE SDR CONTROL NUMBER IS NI1R2019052801.",,,,,,,,
20190520004929I,"THE PILOT REPORTED THAT THE INCIDENT OCCURRED WHILE PERFORMING STOP AND GO LANDINGS.  ON THE SECOND LANDING THE PILOT PERFORMED A TWO WHEEL LANDING WITH A 6 KNOT CROSSWIND.  AS THE TAIL WHEEL WAS LOWERED THE AIRCRAFT STARTED GYROSCOPICALLY TURNING TO THE RIGHT.  THE PILOT STATED THAT SHE RELEASED BACK PRESSURE ON THE STICK, ADDED LEFT RUDDER, AND APPLIED THE BRAKES AT WHICH POINT THE TAIL CAME UP AND THE PROP STRUCK THE GROUND.  DAMAGE WAS INCURRED TO THE PROP, SPINNER, AND LOWER ENGINE COWLING.",,,,,,,,
20190520004939I,"ON MAY 21, 2019, THE AIRCRAFT N65JR, AN CE-152 AIRCRAFT, WAS CONDUCTING A FLIGHT INSTRUCTION TRAINING. THE PILOT WAS A STUDENT PILOT.  THE AIRCRAFT LOST CONTROL DURING A LANDING MANEUVER AT FERNANDO LUIS RIBAS DOMINICCI AIRPORT AROUND 15:38 UTC (11:38 LOCAL). THE AIRCRAFT STRUCK THE RUNWAY WITH ITS TAIL TWICE AND WITH THE PROP ONCE. WHEN THE AIRCRAFT STOPPED, IT WAS TOWED TO THE NORTH RAMP.",,,,,,,,
