c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190103003669A,A,91,   , ,2019,1,3,20190103,1310,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,221386,366, , , , ,808JD,ZLIN A,SAVAGE      ,      ,        ,  ,    ,85,* ,  ,ROTAX ,912S         ,      ,        ,  ,     ,WP,WP07,AZ,PRESCOTT       ,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190826,,,20190715,20190826,,N,,,,,,,,,,,,,"FROM THE PILOT?S STATEMENT, ON JANUARY 3, AT APPROXIMATELY 13:10, N808JD TOOK OFF FROM PRC RUNWAY 21 RIGHT TO PERFO",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, ,
20190330000049I,I,91,   , ,2019,3,30,20190330,1151,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220446,4, , , , ,3077M,PIPER ,PA-28-161   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,A4M   ,        ,  ,     ,EA,EA63,CT,EAST HARTFORD  ,HARTFORD-BRAINARD             ,20R ,HFD ,,,,,,,,,,,,,,DRY,,HFD ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190506,,,20190509,20191016,XX,Y,,,,,,120,,15,120,,,,^PRIVACY DATA OMITTED^ WAS INTERVIEWED BY PHONE AND PROVIDED A STATEMENT OF THE EVENTS INVOLVED. ^PRIVACY DATA OMIT,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,61, , , ,  , , , ,  ,LT,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,6110,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19660420,, ,
20190406000059I,I,91,   , ,2019,4,6,20190406,1545,9, , , , , , ,   ,1H71,1,H,7,1,3T  , , ,TR,  ,  ,220452,5, , , , ,167PM,CESSNA,208,      ,        ,  ,STRD,,* ,  ,P&W CA,PT6A-114A    ,      ,        ,  ,     ,EA,EA63,MA,ORANGE         ,ORANGE MUNICIPAL AIRPORT      ,,ORE ,,,,,,,,,,,,,,,,ORE ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190506,,,,20190506,3,N,,,,,,1,,6,1140,,,,"AT 1945Z ON 04/06/19 N167PM A CESSNA 208 LANDED HARD AT ORANGE, MA (ORE) ON RUNWAY 32 CAUSING THE NOSE GEAR TO COLL",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19630801,, ,
20190203000039A,A,91,   , ,2019,2,3,20190203,1345,9, , , , , , ,   ,1L72,1,L,7,2,3O  , , ,TR,  ,  ,220348,3, , , , ,414RS,CESSNA,414A        ,      ,        ,  ,STRD,9753,* ,  ,CONT M,TSIO-520 SER ,      ,        ,  ,     ,WP,WP05,CA,YORBA LINDA    ,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,4,0,4,5,0,20190418,,,,20190418,1,N,,,,,,,,73,8913,,,,ON 2/3/2019 AT APPROXIMATELY 2138ZULU (1:38PM LOCAL) N414RS A CESSNA 414A S/N 414A0821 PILOTED BY MR. ANTONIO PASTI,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CL,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Climb               ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19440531,, ,
20190304000639A,A,121,   , ,2019,3,4,20190304,1143,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,221006,63, , , , ,14171,EMBRAE,EMB-145XR   ,      ,        ,  ,STRD,35487,* ,  ,ROLLS-,AE3007 SER   ,      ,        ,  ,     ,WA,WA45,ME,PRESQUE ISLE   ,PRESQUE ISLE                  ,1,PQI ,,,46 41N,68 2 W,,,,,,,,,,SNP,,PQI ,,,,,31,29,0,2,2,0,1,0,0,0,0,0,0,0,0,3,20190703,,,,20190703,3,N,,,,,,3084,,151,5655,,,,"ON MARCH 4, 2019, AT 1143 EASTERN STANDARD TIME, COMMUTAIR FLIGHT 4933, AN EMBRAER EMB-145XR, REGISTRATION N14171, ","COMMUTAIR (PLATTSBURGH, NY)   ",  ,JJBA,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19781130,19670812, ,
20190226000669I,I,125,   , ,2019,2,26,20190226,1210,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,221010,66, , , , ,803XA,BOEING,737-800     ,      ,        ,  ,STRD,3221,* ,  ,CFM IN,CFM56-7B26E  ,      ,        ,  ,     ,SW,SW07,ZZ,,AL WAJH DOMESTIC              ,,OEWJ,,,26 11N,36 28E,,,,,,,,,,,,OEWJ,,,,,75,69,0,0,2,0,0,4,0,0,0,0,0,0,0,0,20190703,,,,20190703,F9,N,,,,,,1008,,193,14778,,,,AIRCRAFT MADE AN APPROACH AND LANDING ON A CLOSED TAXIWAY.  THIS TAXIWAY HAD BEEN USED AS THE RUNWAY FOR TAKEOFFS A,ARAMCO ASSOCIATED COMPANY     ,  ,ASCB,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,N, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19671210,19940401, ,
20190305000619I,I,135,   , ,2019,3,5,20190305,1002,9, , , , , , ,   ,2L72,2,L,7,2,4J  , , ,TR,  ,  ,221004,61, , , , ,902UP,CESSNA,750,      ,        ,  ,STRD,15342,* ,  ,ALLISO,AE3007C SER  ,      ,        ,  ,     ,EA,EA63,FL,MIAMI          ,MIAMI INTERNATIONAL           ,,MIA ,,,,,,,,,,,,,,,,MIA ,,,,,11,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20190703,,,,20190703,,N,,,,,,,,,,,,,"MARCH 5, 2019. CIVIL AIRCRAFT N902UP, A CESSNA CITATION TEN, MODEL CE-750, WITH SERIAL NUMBER 750-0141, ENCOUNTERED","GAMA AVIATON, LLC             ",  ,O2GA,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,N, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
20190305000629I,I,135,   , ,2019,3,5,20190305,1300,9, , , , , , ,   ,1G71,1,G,7,1,3U  , , ,SD,  ,  ,221005,62, , , , ,353E ,AMERIC,AS350B3     ,      ,        ,  ,STRD,,* ,  ,TURBOM,ARRIEL 2D    ,      ,        ,  ,     ,NM,NM11,ID,SUN VALLEY     ,,,,,,43 42N,11424W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190703,,,,20190703,F3,N,,,,,,3946,,80,10888,,,,"PILOT WAS CONDUCTING HELI-SKI OPERATIONS.  THE SKIERS COULD NOT MAKE IT DOWN TO THE NORMAL PICK SITE, SO THEY CONST",REEDER FLYING SERVICE         ,  ,FZPA,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19700127,, ,
20190307000599I,I,91,   , ,2019,3,7,20190307,1445,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,221000,59, , , , ,193JS,CESSNA,172M        ,      ,        ,  ,STRD,9641,* ,  ,LYCOMI,0-320        ,E2D   ,        ,  ,     ,EA,EA39,NC,WILMINGTON     ,,,ILM ,,,,,,,,,,,,,,,,ILM ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190703,,,,20190703,XX,Y,,,,,,45,,45,48,,,,PILOT WAS MAKING A LANDING ON RUNWAY 24 AT KILM. ALL THE WAY DOWN ON FINAL SHE WAS CORRECTING FOR A CROSSWIND THAT ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19981028,, ,
20190307000609A,A,91,   , ,2019,3,7,20190307,835,9, , , , , , ,   ,    , , , ,,    , , ,SK,  ,  ,221001,60, , , , ,726,PIPER ,PA-18-150   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,GL,GL21,ND,MCLEOD         ,,,,,,46 27N,97 11W,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,20190703,,,20190703,20191009,F3,N,,,,,,16502,,52,19747,,,,"THE PIPER PA-18-150 SUPER CUB CRASHED IN A FARMER?S FIELD EAST OF LISBON, ND WHILE CONDUCTING COYOTE DEPREDATION OP",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skis                          ,                    ,                    ,                    ,                    ,19521012,, ,
20190308000589I,I,121,   , ,2019,3,8,20190308,2000,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,220998,58, , , , ,7730A,BOEING,737-7BD     ,      ,        ,  ,STRD,43691,* ,  ,CFM IN,CFM56-7B22   ,      ,        ,  ,     ,SW,SW29,CO,DENVER         ,DENVER INTL                   ,,DEN ,,,,,,,,,,,,,,,,DEN ,,,,,146,141,0,0,2,0,0,3,0,0,0,0,0,0,0,0,20190703,,,,20190703,,N,,,,,,,,,,,,,"A SOUTHWEST AIRLINES BOEING 737-7BD, REGISTRATION N7730A PERFORMING FLIGHT WN 2417 FROM BWI TO DEN WITH 141 PASSENG",SOUTHWEST AIRLINES            ,  ,SWAA,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,M, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, ,
